lat,lon
33.6798239,-84.4060693
33.7552262,-84.4210883
33.715283,-84.411177
33.7578486,-84.3381613
33.7537987,-84.3985477
33.7253806,-84.4190286
33.767174,-84.350702
33.7995483,-84.470985
33.7995483,-84.470985
33.6998768,-84.4542655
33.7525425,-84.4856376
33.7711205,-84.4213252
33.783304,-84.383505
33.7653037,-84.3738386
33.7651624,-84.3926495
33.7576648,-84.4061713
33.6877868,-84.4934528
33.6877868,-84.4934528
33.7010207,-84.3805745
33.7087907,-84.3579779
33.7655028,-84.3940315
33.713036,-84.3891772
33.7367511,-84.3985036
33.7008366,-84.4505136
33.6986427,-84.5361856
33.7702461,-84.3714741
33.792894,-84.5004875
33.7510709,-84.3492247
33.766179,-84.457808
33.7030351,-84.5006941
33.7915235,-84.4005533
33.7508775,-84.4477955
33.6868117,-84.3660902
33.672512,-84.3859669
33.672512,-84.3859669
33.672512,-84.3859669
33.7289305,-84.3913273
33.745296,-84.5082387
33.7834275,-84.4799694
33.6762615,-84.3888254
33.679607,-84.376368
33.764454,-84.5020849
33.7523291,-84.4145852
33.7378293,-84.4038414
33.776606,-84.4506081
33.8204934,-84.3662149
33.8272219,-84.3638925
33.7661691,-84.3710478
33.6844283,-84.4023556
33.720538,-84.4131466
33.7297112,-84.4382058
33.7762824,-84.4668719
33.7397623,-84.3355958
33.7639445,-84.3678024
33.7714926,-84.373768
33.6987501,-84.4081967
33.7378293,-84.4038414
33.6925469,-84.4926559
33.7260309,-84.3861455
33.7676704,-84.4147603
33.7399344,-84.3119755
33.7510642,-84.4820001
33.7644422,-84.4140433
33.7646266,-84.4497416
33.6882386,-84.3771581
33.7834275,-84.4799694
33.7064971,-84.4585293
33.732793,-84.4418838
33.675646,-84.3993632
33.7068943,-84.3772636
33.6902488,-84.5133384
33.7697674,-84.4114178
33.7494243,-84.4704836
33.7917708,-84.407426
33.7822859,-84.4776922
33.7048576,-84.3511101
33.7835261,-84.4815192
33.7017304,-84.4217295
33.7825118,-84.4794341
33.758722,-84.5039069
33.7521962,-84.3989557
33.8103182,-84.3685413
33.6772305,-84.4886102
33.716298,-84.4345529
33.724697,-84.407889
33.7607189,-84.4316233
33.8016089,-84.3718149
33.6707871,-84.3671573
33.7797794,-84.4796291
33.6890252,-84.3595542
33.7387104,-84.4457619
33.7518953,-84.4924469
33.6583155,-84.3703737
33.79964,-84.392193
33.79964,-84.392193
33.6992836,-84.4846956
33.675612,-84.417047
33.7467165,-84.3796746
33.7637664,-84.4325121
33.7659066,-84.4162921
33.7241948,-84.4264242
33.7642103,-84.431705
33.7471257,-84.3478118
33.7739149,-84.3812361
33.7328109,-84.3868929
33.831965,-84.3819916
33.7150308,-84.4116597
33.7323105,-84.4077399
33.755125,-84.375137
33.7449222,-84.3860323
33.7231263,-84.4183079
33.750275,-84.395982
33.7435248,-84.4303479
33.7456565,-84.4257212
33.7219635,-84.3743818
33.763768,-84.432473
33.7666973,-84.3711903
33.7585264,-84.4082439
33.7064782,-84.4574774
33.6770471,-84.3910739
33.7135735,-84.397114
33.7195658,-84.4262088
33.792894,-84.5004875
33.7097406,-84.3792416
33.760911,-84.3754143
33.7701526,-84.439044
33.6834171,-84.3963971
33.8009993,-84.4665555
33.8098021,-84.4204712
33.7828577,-84.4776951
33.7510959,-84.4441216
33.7007691,-84.4674375
33.7317888,-84.3818946
33.7703651,-84.3854419
33.7649551,-84.4577734
33.7477442,-84.326686
33.7399344,-84.3119755
33.7642103,-84.431705
33.7385995,-84.3966996
33.7716356,-84.4456001
33.7761468,-84.4681943
33.724682,-84.3526762
33.724682,-84.3526762
33.7363442,-84.4368031
33.8095125,-84.3930921
33.754407,-84.4885528
33.744114,-84.380099
33.7181062,-84.417301
33.786497,-84.458512
33.6795532,-84.378967
33.6736071,-84.3710659
33.6598066,-84.3551031
33.7594883,-84.4431042
33.725499,-84.401115
33.7714182,-84.3724622
33.7079189,-84.487122
33.7326107,-84.4384728
33.7646023,-84.4252918
